Invoice Date,Invoice ID,Invoice Number,Invoice Status,Invoice Type,Customer Name,Customer ID,Branch ID,Branch Name,Place of Supply,GST Identification Number (GSTIN),Due Date,PurchaseOrder,Account,Product ID,Item Name,SKU,Item Desc,Quantity,Usage unit,Warehouse Name,Item Price,HSN/SAC,Sales Order Number,Item Tax %,Item Tax Amount,Item Type,Item Total,SubTotal,Total,Adjustment,Round Off,Billing Address,Billing City,Billing State,Billing Code,Shipping Address,Shipping City,Shipping State,Shipping Code,CF.Material Type,"CF.Driver, Vehicle & Helper Information"
2021-01-12,87520000010408001,LIQSP000531,Overdue,Invoice,LB - Keventer Super milk products pvt ltd.,87520000010161325,87520000009432375,Adcount Liqui Branch,DL,,2021-01-12,,Liquii Beverages W&L Sales,87520000009436161,LB - Blueberry Blast,,,2.00,box,Liquii Warehouse: Delhi,21.19,,,18.000000,7.62,goods,42.38,84.76,100.00,0.00,-0.02,,,,,,,,,Frozen Goods,
2021-01-12,87520000010408001,LIQSP000531,Overdue,Invoice,LB - Keventer Super milk products pvt ltd.,87520000010161325,87520000009432375,Adcount Liqui Branch,DL,,2021-01-12,,Liquii Beverages W&L Sales,87520000009976045,LB - Red Mango,,,2.00,box,Liquii Warehouse: Delhi,21.19,,,18.000000,7.64,goods,42.38,84.76,100.00,0.00,-0.02,,,,,,,,,Frozen Goods,
2021-01-14,87520000010425979,AD/1066/2020-21,Overdue,Invoice,"DBH - House Of Ak46 - Sector 46, Noida",87520000010423159,87520000009582927,Burgrill: Delhi,UP,09AALFH7301J1Z7,2021-01-14,,Delhi Bros W&L Sales,87520000010207570,DBH - Crinkle Cut Fries - 2.5kg,,"2.5 kg/packet, 5 packets/case, 12.5 kg/case",5.00,pkt,Burgrill Warehouse: Delhi,268.50,2004,,12.000000,161.10,goods,1342.50,1342.50,1504.00,0.00,0.40,,,,,Shop no -22 Gaedenia Glory Sector -46 Noida,,,,Frozen Goods,
2021-01-14,87520000010427045,AD/1065/2020-21,Overdue,Invoice,"DBH - House Of Ak46 - Sector 46, Noida",87520000010423159,87520000009582927,Burgrill: Delhi,UP,09AALFH7301J1Z7,2021-01-14,,Delhi Bros W&L Sales,87520000010207511,DBH - Chicken Quarter Pounder Mince,,"18 kg/case, Expiry 270 days (from Taurus)",10.00,kg,Burgrill Warehouse: Delhi,232.10,16010000,,0.000000,0.00,goods,2321.00,6865.73,7092.00,0.00,-0.42,,,,,Shop no -22 Gaedenia Glory Sector -46 Noida,,,,Frozen Goods,
2021-01-14,87520000010427045,AD/1065/2020-21,Overdue,Invoice,"DBH - House Of Ak46 - Sector 46, Noida",87520000010423159,87520000009582927,Burgrill: Delhi,UP,09AALFH7301J1Z7,2021-01-14,,Sales,87520000010372043,DBH - Chicken Tikka 500G,,,4.00,kg,Burgrill Warehouse: Delhi,167.82,1601,,12.000000,80.55,goods,671.28,6865.73,7092.00,0.00,-0.42,,,,,Shop no -22 Gaedenia Glory Sector -46 Noida,,,,Frozen Goods,
2021-01-14,87520000010427045,AD/1065/2020-21,Overdue,Invoice,"DBH - House Of Ak46 - Sector 46, Noida",87520000010423159,87520000009582927,Burgrill: Delhi,UP,09AALFH7301J1Z7,2021-01-14,,Delhi Bros W&L Sales,87520000010209058,DBH - Chicken Burger Patty - 50gm - CBV,,10 packets/box,2.00,kg,Burgrill Warehouse: Delhi,253.49,1601,,12.000000,60.84,goods,506.98,6865.73,7092.00,0.00,-0.42,,,,,Shop no -22 Gaedenia Glory Sector -46 Noida,,,,Frozen Goods,
2021-01-14,87520000010427045,AD/1065/2020-21,Overdue,Invoice,"DBH - House Of Ak46 - Sector 46, Noida",87520000010423159,87520000009582927,Burgrill: Delhi,UP,09AALFH7301J1Z7,2021-01-14,,Delhi Bros W&L Sales,87520000010209275,DBH - Coffee Frappe,,,20.00,pkt,Burgrill Warehouse: Delhi,30.00,2103,,5.000000,30.00,goods,600.00,6865.73,7092.00,0.00,-0.42,,,,,Shop no -22 Gaedenia Glory Sector -46 Noida,,,,Frozen Goods,
2021-01-14,87520000010427045,AD/1065/2020-21,Overdue,Invoice,"DBH - House Of Ak46 - Sector 46, Noida",87520000010423159,87520000009582927,Burgrill: Delhi,UP,09AALFH7301J1Z7,2021-01-14,,Delhi Bros W&L Sales,87520000010207921,DBH - Mutton Quarter Pounder Mince,,15 kg/case,5.00,kg,Burgrill Warehouse: Delhi,209.23,16010000,,0.000000,0.00,goods,1046.15,6865.73,7092.00,0.00,-0.42,,,,,Shop no -22 Gaedenia Glory Sector -46 Noida,,,,Frozen Goods,
2021-01-14,87520000010427045,AD/1065/2020-21,Overdue,Invoice,"DBH - House Of Ak46 - Sector 46, Noida",87520000010423159,87520000009582927,Burgrill: Delhi,UP,09AALFH7301J1Z7,2021-01-14,,Delhi Bros W&L Sales,87520000010207108,DBH - Palak Corn Tikki - 80gm,,,2.00,kg,Burgrill Warehouse: Delhi,230.40,2004,,12.000000,55.30,goods,460.80,6865.73,7092.00,0.00,-0.42,,,,,Shop no -22 Gaedenia Glory Sector -46 Noida,,,,Frozen Goods,
2021-01-14,87520000010427045,AD/1065/2020-21,Overdue,Invoice,"DBH - House Of Ak46 - Sector 46, Noida",87520000010423159,87520000009582927,Burgrill: Delhi,UP,09AALFH7301J1Z7,2021-01-14,,Delhi Bros W&L Sales,87520000010209132,DBH - Special Chicken Breast,,18 kg/case,4.00,kg,Burgrill Warehouse: Delhi,314.88,16010000,,0.000000,0.00,goods,1259.52,6865.73,7092.00,0.00,-0.42,,,,,Shop no -22 Gaedenia Glory Sector -46 Noida,,,,Frozen Goods,
